car_id,timestamp,x,y,state,lane
1,2024-02-11T21:24:12.895834+03:00,375.9054,597.37415,UNKNOWN,L2
2,2024-02-11T21:24:12.895834+03:00,673.94794,411.24036,UNKNOWN,R2
3,2024-02-11T21:24:12.895834+03:00,766.4053,473.33316,UNKNOWN,R3
4,2024-02-11T21:24:12.895834+03:00,533.8292,364.67975,UNKNOWN,L2
5,2024-02-11T21:24:12.895834+03:00,449.57294,421.20575,UNKNOWN,L1
6,2024-02-11T21:24:12.895834+03:00,709.38336,399.12982,UNKNOWN,R3
7,2024-02-11T21:24:12.895834+03:00,683.79266,330.39,UNKNOWN,R3
8,2024-02-11T21:24:12.895834+03:00,544.6512,399.82764,UNKNOWN,L2
9,2024-02-11T21:24:12.895834+03:00,664.3918,347.70135,UNKNOWN,R2
10,2024-02-11T21:24:12.895834+03:00,667.5665,375.96973,UNKNOWN,R2
11,2024-02-11T21:24:12.895834+03:00,549.7505,349.74835,UNKNOWN,L2
1,2024-02-11T21:24:12.937504+03:00,371.46667,603.31995,DOWN,L2
2,2024-02-11T21:24:12.937504+03:00,673.85583,409.8426,UP,R2
3,2024-02-11T21:24:12.937504+03:00,764.87256,471.05356,UP,R3
4,2024-02-11T21:24:12.937504+03:00,533.61096,364.84738,DOWN,L2
5,2024-02-11T21:24:12.937504+03:00,447.9594,422.54617,DOWN,L1
6,2024-02-11T21:24:12.937504+03:00,709.0805,398.62006,UP,R3
7,2024-02-11T21:24:12.937504+03:00,683.6697,330.2089,UP,R3
8,2024-02-11T21:24:12.937504+03:00,543.51416,401.1357,DOWN,L2
9,2024-02-11T21:24:12.937504+03:00,663.9269,347.6902,UP,R2
10,2024-02-11T21:24:12.937504+03:00,667.21436,374.39664,UP,R2
11,2024-02-11T21:24:12.937504+03:00,549.38214,352.04642,DOWN,L2
1,2024-02-11T21:24:12.979174+03:00,366.727,610.7009,DOWN,L2
2,2024-02-11T21:24:12.979174+03:00,673.43823,408.69043,UP,R2
3,2024-02-11T21:24:12.979174+03:00,763.31177,467.39285,UP,R3
4,2024-02-11T21:24:12.979174+03:00,533.1278,365.74988,DOWN,L2
5,2024-02-11T21:24:12.979174+03:00,446.6098,424.08063,DOWN,L1
6,2024-02-11T21:24:12.979174+03:00,708.3686,397.86063,UP,R3
7,2024-02-11T21:24:12.979174+03:00,683.4516,330.22473,DOWN,R3
8,2024-02-11T21:24:12.979174+03:00,542.6598,402.6671,DOWN,L2
9,2024-02-11T21:24:12.979174+03:00,663.5758,347.2354,UP,R2
10,2024-02-11T21:24:12.979174+03:00,666.5867,373.36337,UP,R2
11,2024-02-11T21:24:12.979174+03:00,548.7291,351.528,UP,L2
1,2024-02-11T21:24:13.020844+03:00,361.0066,618.8919,DOWN,L2
2,2024-02-11T21:24:13.020844+03:00,672.75464,407.50806,UP,R2
3,2024-02-11T21:24:13.020844+03:00,761.0947,465.45187,UP,R3
4,2024-02-11T21:24:13.020844+03:00,532.3327,367.5531,DOWN,L2
5,2024-02-11T21:24:13.020844+03:00,444.9688,425.47656,DOWN,L1
6,2024-02-11T21:24:13.020844+03:00,707.6443,397.1795,UP,R3
7,2024-02-11T21:24:13.020844+03:00,682.9331,330.3088,DOWN,R3
8,2024-02-11T21:24:13.020844+03:00,541.7296,404.48862,DOWN,L2
9,2024-02-11T21:24:13.020844+03:00,663.5708,347.03503,UP,R2
10,2024-02-11T21:24:13.020844+03:00,666.4245,372.6549,UP,R2
11,2024-02-11T21:24:13.020844+03:00,548.4293,354.62732,DOWN,L2
12,2024-02-11T21:24:13.020844+03:00,572.34766,364.16553,UNKNOWN,L3
1,2024-02-11T21:24:13.062514+03:00,355.35394,627.5337,DOWN,L2
2,2024-02-11T21:24:13.062514+03:00,672.3992,406.53882,UP,R2
3,2024-02-11T21:24:13.062514+03:00,758.6973,463.46204,UP,R3
4,2024-02-11T21:24:13.062514+03:00,531.9775,368.3046,DOWN,L2
5,2024-02-11T21:24:13.062514+03:00,443.0852,427.46826,DOWN,L1
6,2024-02-11T21:24:13.062514+03:00,707.37,396.42224,UP,R3
7,2024-02-11T21:24:13.062514+03:00,682.4011,330.01428,UP,R3
8,2024-02-11T21:24:13.062514+03:00,541.1217,406.1704,DOWN,L2
9,2024-02-11T21:24:13.062514+03:00,663.53723,346.70917,UP,R2
10,2024-02-11T21:24:13.062514+03:00,666.20496,372.00085,UP,R2
11,2024-02-11T21:24:13.062514+03:00,548.1353,353.11023,UP,L2
12,2024-02-11T21:24:13.062514+03:00,571.7804,365.0974,DOWN,L3
1,2024-02-11T21:24:13.104184+03:00,349.6141,636.2699,DOWN,L2
2,2024-02-11T21:24:13.104184+03:00,672.16296,405.32202,UP,R2
3,2024-02-11T21:24:13.104184+03:00,756.7097,462.41913,UP,R3
